workout_month,type_name,workout_count,average_duration,total_calories_burned
2023-09-01 00:00:00+05:30,CrossFit,1,45.0000000000000000,400
2023-06-01 00:00:00+05:30,Cycling,1,50.0000000000000000,400
2023-05-01 00:00:00+05:30,Pilates,1,40.0000000000000000,220
2023-07-01 00:00:00+05:30,Running,1,35.0000000000000000,320
2023-03-01 00:00:00+05:30,Yoga,1,60.0000000000000000,200
2023-01-01 00:00:00+05:30,Cardio,1,30.0000000000000000,250
2023-04-01 00:00:00+05:30,HIIT,1,20.0000000000000000,350
2023-08-01 00:00:00+05:30,Swimming,1,55.0000000000000000,350
2023-10-01 00:00:00+05:30,Dance,1,30.0000000000000000,250
2023-02-01 00:00:00+05:30,Strength Training,1,45.0000000000000000,300
